Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.1,0.0,0.0
3.0,,,,,,,,,0.0,0.1,0.0,0.0
6.0,,,,,,,,,0.0,0.0,0.0,0.0
9.0,,,,,,,,,0.0,-0.2,0.0,0.0
12.0,,,,,,,,,0.204,0.2,0.07,0.004
15.0,,,,,,,,,0.204,0.2,0.07,0.005
18.0,,,,,,,,,0.202,0.4,0.07,0.006
21.0,,,,,,,,,0.199,2.3,0.1,0.009
24.0,,,,,,,,,0.199,14.2,0.4,0.034
27.0,,,,,,,,,0.199,33.9,0.94,0.077
30.0,,,,,,,,,0.197,49.0,1.33,0.108
33.0,,,,,,,,,0.195,54.2,1.49,0.115
36.0,,,,,,,,,0.193,51.9,1.46,0.105
39.0,,,,,,,,,0.193,49.6,1.42,0.099
42.0,,,,,,,,,0.192,50.7,1.47,0.105
45.0,,,,,,,,,0.19,55.6,1.6,0.121
48.0,,,,,,,,,0.189,61.9,1.79,0.137
51.0,,,,,,,,,0.187,64.4,1.9,0.125
54.0,,,,,,,,,0.187,60.1,1.81,0.093
57.0,,,,,,,,,0.187,57.5,1.79,0.094
60.0,,,,,,,,,0.186,55.5,1.76,0.097
63.0,,,,,,,,,0.184,55.0,1.74,0.094
66.0,,,,,,,,,0.183,57.3,1.83,0.082
69.0,,,,,,,,,0.183,61.0,1.94,0.071
72.0,,,,,,,,,0.182,64.4,2.03,0.061
75.0,,,,,,,,,0.181,66.7,2.14,0.054
78.0,,,,,,,,,0.179,65.7,2.12,0.05
81.0,,,,,,,,,0.176,63.6,2.1,0.047
84.0,,,,,,,,,0.173,60.8,2.08,0.045
87.0,,,,,,,,,0.17,58.3,2.04,0.043
90.0,,,,,,,,,0.166,55.7,1.99,0.044
93.0,,,,,,,,,0.162,57.1,2.09,0.054
96.0,,,,,,,,,0.158,58.0,2.15,0.055
99.0,,,,,,,,,0.154,59.4,2.25,0.054
102.0,,,,,,,,,0.149,59.6,2.33,0.055
105.0,,,,,,,,,0.145,59.6,2.39,0.057
108.0,,,,,,,,,0.141,60.3,2.5,0.061
111.0,,,,,,,,,0.135,60.9,2.63,0.062
114.0,,,,,,,,,0.131,59.7,2.65,0.064
117.0,,,,,,,,,0.126,62.2,2.88,0.071
120.0,,,,,,,,,0.121,63.9,3.08,0.074
123.0,,,,,,,,,0.116,61.4,3.02,0.069
126.0,,,,,,,,,0.111,60.4,3.13,0.077
129.0,,,,,,,,,0.107,61.5,3.3,0.083
132.0,,,,,,,,,0.101,65.9,3.69,0.091
135.0,,,,,,,,,0.095,70.7,4.22,0.103
138.0,,,,,,,,,0.09,69.3,4.26,0.111
141.0,,,,,,,,,0.084,65.7,4.33,0.124
144.0,,,,,,,,,0.078,62.4,4.45,0.132
147.0,,,,,,,,,0.074,58.7,4.51,0.132
150.0,,,,,,,,,0.069,54.4,4.55,0.124
153.0,,,,,,,,,0.063,48.1,4.41,0.117
156.0,,,,,,,,,0.058,43.3,4.45,0.118
159.0,,,,,,,,,0.053,38.9,4.47,0.108
162.0,,,,,,,,,0.049,34.7,4.45,0.099
165.0,,,,,,,,,0.045,29.9,4.37,0.094
168.0,,,,,,,,,0.04,25.3,4.34,0.091
171.0,,,,,,,,,0.035,21.2,4.35,0.093
174.0,,,,,,,,,0.031,18.0,4.36,0.107
177.0,,,,,,,,,0.028,14.9,4.23,0.121
180.0,,,,,,,,,0.025,12.8,4.16,0.131
183.0,,,,,,,,,0.022,11.1,4.19,0.143
186.0,,,,,,,,,0.019,9.5,4.34,0.154
189.0,,,,,,,,,0.016,8.2,4.54,0.172
192.0,,,,,,,,,0.015,7.4,4.56,0.168
195.0,,,,,,,,,0.013,6.6,4.6,0.173
198.0,,,,,,,,,0.012,5.9,4.49,0.167
201.0,,,,,,,,,0.011,5.2,4.54,0.175
204.0,,,,,,,,,0.01,4.8,4.66,0.183
207.0,,,,,,,,,0.009,4.1,4.75,0.179
210.0,,,,,,,,,0.009,3.6,4.76,0.171
213.0,,,,,,,,,0.007,3.1,5.1,0.181
216.0,,,,,,,,,0.006,3.2,5.86,0.193
219.0,,,,,,,,,0.005,2.9,6.84,0.205
222.0,,,,,,,,,0.004,2.8,0.0,0.0
225.0,,,,,,,,,0.004,2.6,0.0,0.0
228.0,,,,,,,,,0.004,2.5,0.0,0.0
231.0,,,,,,,,,0.004,2.2,0.0,0.0
234.0,,,,,,,,,0.003,1.9,0.0,0.0
237.0,,,,,,,,,0.003,1.6,0.0,0.0
240.0,,,,,,,,,0.002,1.4,0.0,0.0
243.0,,,,,,,,,0.002,1.3,0.0,0.0
246.0,,,,,,,,,0.002,1.3,0.0,0.0
249.0,,,,,,,,,0.002,1.1,0.0,0.0
252.0,,,,,,,,,0.001,0.7,0.0,0.0
255.0,,,,,,,,,0.001,0.7,0.0,0.0
258.0,,,,,,,,,0.001,0.4,0.0,0.0
261.0,,,,,,,,,0.001,0.5,0.0,0.0
264.0,,,,,,,,,0.001,0.2,0.0,0.0
267.0,,,,,,,,,0.0,0.3,0.0,0.0
270.0,,,,,,,,,0.0,0.4,0.0,0.0
273.0,,,,,,,,,0.0,0.2,0.0,0.0
276.0,,,,,,,,,0.0,0.2,0.0,0.0
279.0,,,,,,,,,0.0,0.2,0.0,0.0
282.0,,,,,,,,,0.0,0.1,0.0,0.0
285.0,,,,,,,,,0.0,0.1,0.0,0.0
288.0,,,,,,,,,0.0,0.1,0.0,0.0
