Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,2.364209,-0.0338846865461609,0.0271395628684666,325.609,0.209557001,0.0006242449,3.0575e-06,-3.509010542592975e-05
1.0,2.362742,-0.0791262565376257,0.0272770129276431,325.581,0.2095358269,0.0011530284,8.9371e-06,3.5090561634427954e-05
2.0,2.68824,-0.1055949277386845,0.0268250477823957,325.689,0.209385435,0.0020797524,4.77266e-05,6.141047886097198e-05
3.0,2.521529,0.0891945935195974,0.026659153847988,326.304,0.2087249335,0.0032002852,0.0001106757,-6.140968044527994e-05
4.0,2.381946,0.5442201496301327,0.025585157762752,327.877,0.2074789737,0.0042702402,0.0001884483,-5.263510550024256e-05
5.0,6.497799,1.1186766680233664,0.0244110885795524,329.833,0.2059100847,0.0050972679,0.0002712036,-9.649812768686202e-05
6.0,10.868496,1.730461310187919,0.0249446167520026,331.81,0.2044562109,0.0056147446,0.0003557935,-5.263368429522108e-05
7.0,9.642281,2.224698441977308,0.0253886187660751,333.548,0.2033484455,0.0059020456,0.0004227452,-5.263468439401805e-05
8.0,6.41458,2.4715706860595605,0.0248188963418678,334.853,0.2026295753,0.0060520027,0.0004641585,8.772280715913926e-05
9.0,1.753254,2.636997990532382,0.0247999316215508,335.943,0.2022251199,0.006130077,0.0004862486,7.017705266956542e-05
10.0,0.924153,2.7586901165677866,0.0252736453066397,336.928,0.202067821,0.0061136377,0.0004895409,-2.6316671082163357e-05
11.0,0.881405,2.7827531176729683,0.0250928509058636,337.848,0.2020019003,0.005967877,0.0004803056,-7.017635088931897e-05
12.0,0.780737,2.80606676859646,0.0249601761536943,338.727,0.2020029554,0.0055778499,0.0004569151999999,5.263305267159445e-05
13.0,0.680175,2.82854319542107,0.0254136198616707,339.389,0.2021838212999999,0.0050616536,0.0004205218,1.7544140355897413e-05
14.0,0.420361,2.7546010271630728,0.0256330341605175,339.859,0.2025340162,0.0044790357,0.0003784494,-2.631659213046124e-05
15.0,0.279589,2.5386022263902657,0.025924956532367,340.174,0.203215773,0.0038605147,0.0003322653999999,-7.017866681554637e-05
16.0,0.260421,2.1990248385859985,0.0260000943604578,340.231,0.2041057869999999,0.0032698393999999,0.0002867795,8.772390373494665e-06
17.0,0.26035,1.822203181729051,0.0258298344637184,340.071,0.2050314636,0.0026850903,0.0002431089,7.895001324715003e-05
18.0,0.260452,1.5763158595532858,0.0266003133959885,339.764,0.2057853516999999,0.0021718224,0.0002039086999999,-8.772140355926605e-05
19.0,0.260482,1.306089858067405,0.0264741380207729,339.422,0.2064430615,0.0017457863,0.0001672974,-3.508898250194165e-05
20.0,0.260333,1.0909601607813586,0.0268045420362119,339.063,0.2070054637,0.0014191403999999,0.000135759,1.7544070178256056e-05
21.0,0.180045,0.8536649233581095,0.0266968562438998,338.736,0.2075522588999999,0.0011776135,0.0001112575,-0.0001228062807087
22.0,0.241558,0.6585405930684674,0.0266260598178925,338.457,0.2079958381999999,0.001017229,9.53873e-05,-0.0001315805921278
23.0,0.180171,0.4970316097289636,0.0264431247971405,338.178,0.2083527467,0.0009103891999999,8.574840000000001e-05,-0.0001228082456294
24.0,0.16133,0.383130043758782,0.02649477666193,337.888,0.2086186591,0.0008077083,7.777270000000001e-05,-3.508884214094736e-05
25.0,0.241493,0.3240842040214108,0.0269080563392535,337.581,0.2087737355999999,0.0007235652,6.94978e-05,-8.77229387470714e-06
26.0,0.260235,0.284936844190664,0.0267378344655203,337.332,0.2088624778999999,0.0006772396,6.43461e-05,0.0001140383378147
27.0,0.260389,0.2248811143605164,0.0268906476497013,337.053,0.2089956376,0.0006554395,6.18179e-05,5.263468439359038e-05
28.0,0.260366,0.1700872486226857,0.0267945437436359,336.757,0.2091083338,0.0006524418,6.20473e-05,8.772070177857073e-05
29.0,0.181067,0.1332503815190214,0.0268107530301797,336.539,0.2091869623999999,0.0006396471,6.40953e-05,0.0001403476491976
30.0,0.161309,0.115944375446801,0.0264674787539146,336.389,0.2092261749,0.0006093001,6.38863e-05,0.0001228057894868
31.0,0.241472,0.1234539504138794,0.02653539412632,336.23,0.2092170014,0.000583588,6.22586e-05,8.77178070451157e-05
32.0,0.179976,0.1335092626971256,0.0266028292791026,336.048,0.2091993134,0.000573492,6.06079e-05,-5.263131579061578e-05
33.0,0.161162,0.1145428543497745,0.0265898830612773,335.877,0.2092375826,0.0005806842,5.99415e-05,-3.508733333889999e-05
34.0,0.161273,0.0910959461215539,0.0267058507206833,335.679,0.2092845049,0.0005942339,6.02704e-05,-0.0001491266097492
35.0,0.161235,0.0823065371772015,0.0266428167429705,335.479,0.2093029581,0.0005897726,6.13673e-05,-0.000157897579002
36.0,0.241367,0.0896940948687402,0.0267917206887404,335.339,0.2092919673,0.0005750734,6.0468500000000006e-05,-0.0001491249693337
37.0,0.179998,0.1034628706973863,0.0266964465863757,335.2,0.2092687949,0.0005501029,5.77229e-05,-0.0003070109431552
38.0,0.161193,0.1165967253350253,0.0271069859944705,335.073,0.2092463936,0.0005458922,5.65545e-05,-2.6315671052590954e-05
39.0,-0.058415,0.0923420403891789,0.0271267958575316,334.96,0.209293566,0.0005575327,5.74169e-05,-8.772043861193504e-05
40.0,0.02796,0.0702815143065768,0.0266296736459308,334.806,0.209331306,0.0005758625,6.01859e-05,-0.0001403548071303
41.0,0.141257,0.0658539228732756,0.0270279620694683,334.656,0.2093435374,0.0005666075,6.30197e-05,-7.01775439231003e-05
42.0,0.079613,0.0731770787567657,0.0264211459264141,334.524,0.2093278274,0.00055167,6.39307e-05,-8.772157900742262e-05
43.0,0.060586,0.0912956127856151,0.0268514685372523,334.336,0.2092951917,0.0005402181999999,6.3863e-05,-0.0001140400484632
44.0,0.14203,0.0943286838946327,0.026865723325879,334.177,0.2092887077,0.0005405672,6.4535e-05,5.263300003760009e-05
45.0,0.1612,0.073633983850341,0.0267924769575849,334.088,0.2093250492,0.0005663675,6.6495e-05,-4.386195187526057e-05
46.0,0.161092,0.0609418535574217,0.026553910719885,334.04,0.2093485408,0.0005722159,6.79084e-05,-5.263478966911336e-05
47.0,0.161083,0.0578885755654312,0.026779428188525,333.93,0.2093604565,0.0005512465,6.75942e-05,-7.018147420345809e-05
48.0,0.16111,0.0681095903562969,0.0267102854942046,333.78,0.2093422616,0.0005406189,6.421419999999999e-05,4.386243438782406e-05
49.0,0.161072,0.0933527762120324,0.0269997633062176,333.695,0.2092960897,0.0005278265,5.95152e-05,-7.89494605829166e-05
50.0,0.241401,0.0863307727804118,0.0267188614025381,333.582,0.2093099034999999,0.0005280424,5.58565e-05,7.895096069126532e-05
51.0,0.179992,0.0651741526278877,0.0268784530605749,333.463,0.2093514241,0.0005467922,5.40954e-05,-5.2633526388421474e-05
52.0,0.161125,0.0520180189466407,0.0270097088024809,333.395,0.2093778577,0.0005552797999999,5.27261e-05,-8.772333352015292e-05
53.0,0.161051,0.0537581619637663,0.0272806198632965,333.214,0.2093806027,0.0005342272,5.036e-05,3.508933340740008e-05
54.0,0.161057,0.0671819423267508,0.0266021417139187,333.095,0.2093543007,0.0005196251,4.60394e-05,-6.140703967660155e-05
55.0,0.161083,0.089807400468535,0.0265937389027398,333.048,0.2093095703999999,0.0005140921,4.17821e-05,-8.77232019188854e-06
56.0,0.161214,0.0856557198277855,0.0268414840922183,332.952,0.2093196801,0.0005190247,3.944740000000001e-05,-1.754463161201591e-05
57.0,0.079846,0.064652199558037,0.0265628597486378,332.837,0.2093563023999999,0.0005450883,3.95334e-05,7.89492237279169e-05
58.0,0.141236,0.0530262633046923,0.0267216699441635,332.754,0.2093793833,0.0005526362,4.05002e-05,2.6316486860463664e-05
59.0,0.241316,0.0570832287518999,0.0268987270337679,332.675,0.2093778741999999,0.0005241091,3.99959e-05,-7.895056591922168e-05
60.0,0.180807,0.0744684283447124,0.0270460065043428,332.543,0.2093462437,0.0005100152,3.84921e-05,6.14042763259807e-05
61.0,0.161167,0.0945115024543393,0.0269783932322244,332.442,0.2093055322,0.0005087547,3.63852e-05,-1.7544385981497595e-05
62.0,0.161146,0.0832492573160738,0.0270126260444406,332.386,0.2093260675,0.0005243893,3.53023e-05,0.00014912616236
63.0,0.161247,0.0555527230785267,0.0262665299225761,332.359,0.2093783427,0.0005321891,3.48974e-05,-7.01770526688549e-05
64.0,0.161102,0.0458053101609986,0.0269096079729101,332.335,0.2094010914,0.0005310304,3.61846e-05,-0.0001754392982538
65.0,0.161317,0.0510759468206791,0.0269716869727911,332.24,0.209393998,0.0005171173,3.43356e-05,8.771907894423774e-06
66.0,0.079784,0.0709546431385903,0.0266911467053148,332.175,0.2093559397,0.0005009509999999,3.12206e-05,2.631593421062982e-05
67.0,0.142153,0.0877272691626786,0.0270361120302511,332.106,0.2093238852,0.0005005548,2.98345e-05,4.3859232458302846e-05
68.0,0.16123,0.071348380671916,0.0266511062552387,332.027,0.2093528116,0.0005120936,3.04979e-05,2.631472372835866e-05
69.0,0.161114,0.05240424815836,0.0267886601415695,331.957,0.2093880998999999,0.0005306905,3.3114e-05,3.5086912299197574e-05
70.0,0.161109,0.0459785309795121,0.0269427175783209,331.909,0.2094021291,0.000526365,3.5312400000000004e-05,6.140163602375212e-05
71.0,0.161093,0.0477129708078331,0.0271419244229034,331.886,0.2094039281,0.0005058683,3.42673e-05,8.771644744561445e-06
72.0,0.16113,0.0662182394763651,0.0266188036905214,331.844,0.2093671296,0.0004919063,3.17942e-05,6.140010106741117e-05
73.0,0.161225,0.0759797534977823,0.0264467819847224,331.799,0.2093456855,0.0004947034,3.01489e-05,0.0001491181098
74.0,0.161267,0.0588287008813413,0.0261056824919016,331.77,0.2093793264,0.0005003144,2.90836e-05,0.0002456088773172
75.0,0.161208,0.0423354185587693,0.0265382506016395,331.729,0.209411798,0.0005186101,2.99358e-05,4.385993421313361e-05
76.0,0.161215,0.0319571501586603,0.0270814510895976,331.702,0.2094368703,0.0005101743,2.92998e-05,0.0001140363991393
77.0,0.161156,0.0413110545468252,0.0270002723822802,331.657,0.2094228537,0.0004897122,2.59603e-05,8.77186403481488e-06
78.0,0.161183,0.0646764060622332,0.0273572951624585,331.555,0.2093786738,0.0004836073,2.32921e-05,3.508785965066287e-05
79.0,0.161215,0.0687332140790156,0.0273311765203154,331.474,0.2093693331,0.0004910309,2.15714e-05,0.0001315812500434
80.0,0.160946,0.0485759547846707,0.0269230927174715,331.391,0.2094055288,0.0005076885,2.10723e-05,-2.631725008078984e-05
81.0,0.161112,0.0334463290443173,0.0270554307871483,331.331,0.2094342766,0.0005182828,2.28498e-05,-2.631785542489301e-05
82.0,0.161103,0.0323698460885707,0.0268381907362236,331.302,0.2094392522,0.0005034725,2.22754e-05,-3.508975450445325e-05
83.0,0.161046,0.046766165959162,0.0276515429649263,331.3,0.2094164727,0.0004884919,1.92204e-05,1.7545017621212715e-05
84.0,0.080398,0.0695117419017521,0.0273109954589199,331.218,0.2093709355,0.0004836649,1.65115e-05,6.140765378971103e-05
85.0,0.060509,0.067039423980315,0.0271440826673293,331.136,0.2093742002999999,0.0004901637,1.52629e-05,9.64977416695058e-05
86.0,0.060492,0.0467310540219261,0.0269688960358727,331.098,0.2094115136,0.0005077447999999,1.52181e-05,0.0
87.0,0.060594,0.040026369976371,0.0265870675715284,331.084,0.2094217155999999,0.0005161784,1.71527e-05,0.0001140466634579
88.0,0.060512,0.0428140416409557,0.0266425997432774,331.082,0.2094183015,0.000506357,1.6657799999999998e-05,-3.509129861076056e-05
89.0,0.06053,0.0594759605034711,0.026895500746773,331.046,0.2093896745,0.0004869334,1.40226e-05,6.140832932647601e-05
90.0,0.060604,0.0810520367383028,0.0269329564785045,331.007,0.2093466655,0.0004824498,1.2770100000000002e-05,-3.5090070333003e-05
91.0,0.060555,0.0727366272780001,0.0269940601932245,330.933,0.2093612491,0.0004964884,1.27323e-05,1.754556156902624e-05
92.0,0.060497,0.0462772208529622,0.0266889437715873,330.873,0.2094105564999999,0.0005145918,1.36475e-05,-1.7545508926612918e-05
93.0,-0.020066,0.0335721288247278,0.0268190930255201,330.856,0.2094381823,0.0005061741,1.63819e-05,-7.895238189717737e-05
94.0,-0.040147,0.0367129879802601,0.0267638649802655,330.828,0.2094347912,0.0004909578,1.61256e-05,-0.0001052713690633
95.0,0.040761,0.0557811149116288,0.0272418158086503,330.828,0.2094009094999999,0.0004774338999999,1.3619e-05,4.386405745954618e-05
96.0,0.060561,0.0733873302398837,0.0268698714744697,330.821,0.2093638702999999,0.0004753397,1.20647e-05,-2.631803966598284e-05
97.0,0.060386,0.0594939805941988,0.0266210447933918,330.817,0.2093879086,0.0004931874,1.1563e-05,5.2635737170864566e-05
98.0,0.060419,0.0403334004588839,0.0268556398864934,330.778,0.2094241023,0.0005135755,1.24064e-05,9.650063688310252e-05
99.0,0.060456,0.0324913579312313,0.0268948829307304,330.709,0.2094418345,0.000504988,1.35646e-05,-3.509035107446929e-05
100.0,0.060504,0.031154815203482,0.0269338551652702,330.675,0.209447855,0.0004920037,1.22808e-05,-0.0001754498252865
101.0,0.141894,0.0508895087498973,0.0272310232814526,330.668,0.2094125245,0.0004769472999999,9.0762e-06,-0.0001315883559394
102.0,0.16092,0.0642604321966044,0.0269369085147145,330.68,0.2093846528,0.0004755355,7.426400000000001e-06,2.631832919408305e-05
103.0,0.161052,0.0474691474635127,0.026776472279976,330.64,0.20941427,0.0004963901,7.6857e-06,-2.6317881745048705e-05
104.0,0.080608,0.0290910539781972,0.0270426490308448,330.545,0.2094487923,0.0005143626,9.0354e-06,-0.0001579035794467
105.0,0.060424,0.0238849908188659,0.0270292669602388,330.476,0.2094617491,0.0005006156,1.07781e-05,-0.0001228119300233
106.0,0.060579,0.0319374956083164,0.0267626626524286,330.445,0.2094466397,0.0004909323,1.05516e-05,-0.0001315842765351
107.0,0.060512,0.0539681124727147,0.0265426598993975,330.443,0.2094033918999999,0.0004769472999999,9.0415e-06,-6.14069782662302e-05
108.0,0.06053,0.0546893385694068,0.0265060500178151,330.476,0.2094029449,0.0004709025,9.1694e-06,-1.7544771976625e-05
109.0,0.06035,0.0341440466331675,0.0267309365944283,330.523,0.2094418927,0.0004909066,1.07956e-05,-0.0001052682107701
110.0,0.060304,0.0177998707039189,0.0269329134478998,330.543,0.2094724452,0.0005066827,1.19837e-05,2.6316460542413657e-05
111.0,0.060516,0.0151736380170289,0.0264768192927652,330.52,0.2094805016,0.0004900309,1.28941e-05,-8.771907893600082e-06
112.0,0.060482,0.0263490321578293,0.0265289765890377,330.512,0.2094607777,0.0004765367999999,1.0568299999999998e-05,-8.771842106234123e-05
113.0,-0.020896,0.0502122992514213,0.0269550842291521,330.496,0.2094152978,0.0004675425,7.7169e-06,3.50874035105406e-05
114.0,-0.040177,0.0527776504445306,0.0274126487327237,330.416,0.209411649,0.0004703051,6.5453e-06,-1.754387719253645e-05
115.0,-0.040166,0.0316278801776246,0.0272648566028166,330.272,0.2094481332999999,0.0004977655999999,7.4485e-06,-6.14032938611264e-05
116.0,-0.040292,0.0238061710831701,0.0267243131770217,330.226,0.2094602024,0.0005084821,9.3354e-06,-0.0001578964737083
117.0,-0.040281,0.0257315231622539,0.0261973473858418,330.312,0.20945935,0.0004874479,9.8522e-06,8.772092109455737e-06
118.0,-0.009898,0.0353242801877899,0.0270520834320556,330.351,0.2094453809999999,0.0004711262,8.1157e-06,-0.0001052623157968
119.0,0.04844,0.0630384631839238,0.0275716172152515,330.33,0.2093920194,0.0004670840999999,7.2022e-06,-7.894685526629444e-05
120.0,0.060514,0.0520252490521378,0.0270779593621739,330.265,0.2094103446,0.0004757738999999,7.6465e-06,-0.0001754401754576
121.0,0.060386,0.0280446074109136,0.0272653477997753,330.189,0.209453684,0.0005020669,9.9244e-06,-0.000192993263772
122.0,-0.020156,0.015237758211435,0.0269929226770178,330.188,0.2094770872999999,0.0005087897,1.27776e-05,0.0
123.0,0.041089,0.0246643078399249,0.0269153504545977,330.188,0.2094613426,0.0004886422,1.39564e-05,0.00010526442107
124.0,-0.021088,0.0430689692596975,0.0264176095575076,330.2,0.2094254652,0.0004722398,1.28585e-05,0.0001754396491342
125.0,0.041422,0.0643823495224045,0.026793403296532,330.234,0.20938421,0.0004678029,1.06078e-05,-6.140274123887818e-05
126.0,0.060502,0.0550641671594693,0.0266303212400333,330.239,0.2094027996999999,0.0004700546,9.3881e-06,0.0001578923684611
127.0,0.060594,0.0354681404663515,0.0269706522828934,330.159,0.209439703,0.0004927263,9.9565e-06,8.771789475964855e-05
128.0,0.060576,0.0255048852089623,0.0270593308392092,330.081,0.2094589918,0.0004980317,1.08515e-05,2.6314934239646936e-05
129.0,0.060587,0.0301793980247562,0.0267842600256543,330.082,0.2094545288,0.0004733381,9.1064e-06,-8.771811404410075e-06
130.0,0.060613,0.0424334429669113,0.0268899019008664,330.196,0.2094330088,0.0004602105,6.7317e-06,2.631577631596405e-05
131.0,0.060534,0.057314673846128,0.0269806337471311,330.207,0.209402627,0.0004631454,4.973100000000001e-06,-1.7543807016562142e-05
132.0,0.060556,0.0430035551463686,0.0270108806074895,330.162,0.2094294914,0.0004771381,4.3871e-06,8.772109652909741e-06
133.0,-0.021027,0.0235370261059277,0.0270284822511539,330.15,0.2094648888,0.000497669,5.5458e-06,-6.140476756979875e-05
134.0,0.040619,0.0171278174909832,0.0268670787887291,330.175,0.2094796068999999,0.0004875542,6.6234e-06,-0.0001140358289541
135.0,-0.020643,0.02510288285205,0.0273136974302768,330.225,0.2094685158,0.0004691147,4.6068e-06,-0.0001403508771963
136.0,0.041578,0.045670647294807,0.0269350254304731,330.268,0.2094280109,0.0004604133,2.1576e-06,-6.140237282729235e-05
137.0,-0.02079,0.0522650940251685,0.0270622974521239,330.238,0.2094145500999999,0.0004651165,3.313e-07,6.140261843570001e-05
138.0,0.041413,0.0310439361763934,0.0267865767903521,330.216,0.2094554773,0.0004754557999999,-1.008e-07,6.14031096533604e-05
139.0,-0.020999,0.0123005740003638,0.0269135053001857,330.236,0.2094893636,0.0004966914,1.8769e-06,6.14024342295643e-05
140.0,-0.040007,0.0072745353736364,0.0263331102718416,330.256,0.2095002242,0.0004903945,3.3493e-06,-8.771785089176437e-06
141.0,-0.040004,0.0179352226785596,0.0265894185449771,330.238,0.2094832786,0.0004682527,1.7482e-06,-3.50866316118394e-05
142.0,-0.040051,0.0410890736743049,0.0270112161030576,330.206,0.2094386431,0.0004594181,5.5e-08,5.262910538106765e-05
143.0,-0.040019,0.0465517844884611,0.0269658074271699,330.144,0.2094269264,0.0004620887,-6.669e-07,5.263015793240372e-05
144.0,-0.040093,0.0281272864715555,0.026693191344147,330.132,0.2094621361,0.0004707294,4.2320000000000003e-07,-2.631572368413737e-05
145.0,-0.04003,0.0191747245538301,0.0265911112039089,330.115,0.2094762296,0.0004872215,3.1506e-06,0.0001491242237001
146.0,-0.04003,0.0187516555537971,0.0263672706285047,330.122,0.2094783723,0.0004775338,4.422e-06,0.000201756302659
147.0,-0.040014,0.0234373946681418,0.0266592095397446,330.144,0.2094723862,0.0004634246,3.278e-06,9.649233773396148e-05
148.0,-0.040136,0.0446136795237122,0.0269085320759073,330.118,0.2094302276,0.0004588464,2.7449e-06,0.0001315807237121
149.0,-0.040082,0.0424781313356082,0.0269268066520225,330.119,0.2094324783,0.0004698013,2.5317e-06,0.0001666690833738
150.0,-0.040082,0.0224060533943594,0.0268803427672613,330.11,0.209469758,0.0004868263,4.0274e-06,0.0001315805921273
151.0,-0.040024,0.0100530462439894,0.0274868475399867,330.042,0.2094949612,0.0004872688,6.0804e-06,1.7543982457178238e-05
152.0,-0.039988,0.0109766057129683,0.0269768137729182,329.992,0.2094972046,0.0004678547,4.7443000000000005e-06,-0.0001315783552676
153.0,-0.040004,0.0255983664321705,0.0271368587803803,329.953,0.2094702407,0.0004581484,2.3645e-06,6.140163602375212e-05
154.0,-0.040135,0.0482048001444146,0.0271362119483228,329.969,0.2094256676999999,0.0004538471,-8.49e-08,4.385888159062619e-05
155.0,-0.121227,0.0400326905392246,0.0267162893365031,330.006,0.209439092,0.0004644212,-6.176e-07,0.0001228002635304
156.0,-0.060051,0.0199194270516382,0.0268466535396563,330.046,0.2094767968,0.000484337,-9.990000000000001e-08,4.385747817835192e-05
157.0,-0.040044,0.0094431593875557,0.0270227930817126,330.062,0.2094979761,0.0004834726,2.2784e-06,6.139868897489138e-05
158.0,-0.039987,0.0151166018376636,0.0266213882079111,330.023,0.2094878845,0.0004736866,2.2869e-06,0.0001841964352959
159.0,-0.040046,0.039067593188027,0.0271021810671146,329.998,0.2094440651,0.0004549252,-8.820000000000002e-08,0.0001403399306805
160.0,-0.040082,0.0595839389633482,0.027096337214647,329.999,0.2094032498,0.0004507334,-1.3234e-06,-4.385730275706588e-05
161.0,-0.040066,0.0472256336269355,0.0269950193101695,329.974,0.2094251188,0.0004654152,-1.1691e-06,-8.771399155789562e-06
162.0,0.041426,0.0269950990541621,0.0266117925749994,329.961,0.2094620503,0.0004822875,-1.16e-08,-3.508568432778452e-05
163.0,-0.020862,0.0177257124580856,0.0266285209145883,329.905,0.2094797768,0.0004863945,2.304e-06,-8.77145177943967e-06
164.0,-0.040233,0.0309534065344691,0.0269020004224916,329.839,0.2094556741,0.0004735662999999,1.8172e-06,0.0
165.0,-0.040021,0.0529663817879185,0.026911970064235,329.798,0.2094137556,0.000460551,-5.310000000000001e-07,0.0001491152766992
166.0,-0.040126,0.0680205210148318,0.0271651214828608,329.86,0.2093841459,0.0004604724,-1.0282e-06,-2.631430271516418e-05
167.0,-0.040102,0.0517495018942828,0.0271809736573949,329.933,0.2094133346,0.0004787563,-1.18e-08,2.631446059265688e-05
168.0,0.041378,0.0252126251313528,0.026577602606992,329.939,0.2094626745,0.0004924155,2.6201e-06,2.63141185261781e-05
169.0,-0.020957,0.0177406736085308,0.0269083311529169,329.939,0.209480058,0.0004837272,4.1322e-06,9.648442591983562e-05
170.0,-0.040019,0.0269396592106676,0.0273523260604671,329.888,0.2094671092999999,0.0004623113999999,2.2077e-06,3.5085087917901346e-05
171.0,-0.040115,0.0484084501683714,0.0268134118689155,329.843,0.2094244197,0.0004520421,-4.24e-08,7.89418819592491e-05
172.0,-0.040225,0.0564770642214511,0.0265073772644934,329.853,0.2094061636,0.0004550114,-1.3497e-06,-2.631440796754429e-05
173.0,-0.040117,0.0380865289146367,0.0268170631603592,329.847,0.2094407107,0.0004776819999999,-7.6e-07,3.5086736869079307e-05
174.0,-0.040087,0.0181157646560973,0.026886119041,329.786,0.2094786497999999,0.0004917118,1.0325e-06,-1.7544210533770762e-05
175.0,0.041312,0.0103482367143605,0.0266300931003244,329.812,0.2094978873,0.0004737421,2.1412e-06,-6.140691685585884e-05
176.0,-0.020842,0.0205738264991454,0.0269204032170293,329.861,0.2094810307,0.0004570831,5.933e-07,-0.0001754524572416
177.0,-0.040148,0.0439738212076397,0.0271534262811365,329.829,0.2094352164,0.0004515176,-1.051e-06,-0.0002456329488405
178.0,-0.040086,0.0459896805433779,0.027117368998646,329.753,0.2094294624,0.0004594485,-1.517e-06,-9.649996131729516e-05
179.0,-0.039977,0.0190265230739193,0.0272841688952021,329.701,0.2094818363,0.0004735816,-9.816e-07,-0.0001228175798569
180.0,-0.040062,0.0011096938226047,0.0270396825343756,329.736,0.2095139342999999,0.0004907618,1.286e-06,-0.0001315869083787
181.0,-0.040109,0.0010397635155461,0.0270140266438111,329.782,0.2095180546,0.0004707173,1.9316e-06,-0.0001140438120727
182.0,-0.040092,0.0142242010835037,0.0269507863514636,329.791,0.2094946036,0.0004554918,3.215e-07,2.631809230631224e-05
183.0,-0.039896,0.0361138342398265,0.0264791941634209,329.788,0.2094494476999999,0.0004515563999999,-1.1303e-06,-7.018154439056626e-05
